Company,2018,2019,2020,2021,2022
THE SWATCH GROUP,8475000.0,8243000.0,5595000,7313000.0,7499000
TX GROUP AG,1009144.0,1075209.0,934663,957349.0,922700
U-BLOX HOLDING,393269.0,385099.0,333513,414057.0,623852
UBS GROUP,41765833.0,41244779.0,35559568,36822530.0,39751892
VALIANT 'R',464658.0,459774.0,452365,452996.0,507768
VAT GROUP,698136.0,570376.0,692427,901159.0,1145479
VETROPACK 'B',690700.0,714900.0,662600,816500.0,899400
VONTOBEL HOLDING,1429500.0,1558400.0,1614300,1945000.0,1666800
VZ HOLDING 'N',289859.0,305736.0,329084,388863.0,415610
ZURICH INSURANCE GROUP,46113083.0,71593380.0,55002707,64096377.0,40089233
