Company,2018,2019,2020,2021,2022
SWISSQUOTE 'R',20109.0,26191.0,26321.0,30687.0,28020.0
TECAN 'R',8142.0,11800.0,9407.0,23769.0,27136.0
TEMENOS,5674.0,8113.0,9921.0,6472.0,7462.0
THE SWATCH GROUP,396000.0,437000.0,399000.0,208000.0,251000.0
TX GROUP AG,6634.0,16610.0,14381.0,18789.0,16888.0
U-BLOX HOLDING,10586.0,7319.0,6488.0,4347.0,6194.0
UBS GROUP,1593000.0,1649024.0,1573197.0,1730561.0,1684147.0
VALIANT 'R',23832.0,19287.0,16636.0,15028.0,15745.0
VAT GROUP,43774.0,41953.0,6645.0,7811.0,32425.0
VETROPACK 'B',65500.0,114200.0,121100.0,71600.0,118200.0
VONTOBEL HOLDING,57700.0,66700.0,61000.0,66300.0,62000.0
VZ HOLDING 'N',60532.0,9410.0,6409.0,6381.0,7530.0
ZURICH INSURANCE GROUP,519649.0,1125400.0,746871.0,515248.0,526925.0
